dni,nombre,direccion,telefono,sueldo_base,antiguedad
1111AAAA,Juan Perez,Calle Principal 123,123456789,110000,2
2222BBBB,Maria Lopez,Avenida Central 456,987654321,140000,3
33333CCCC,Carlos Gonzalez,Plaza Mayor 789,456123789,190000,1
4444DDDD,Laura Fernandez,Calle Secundaria 456,321987654,185000,4
5555EEEE,Ana Martinez,Avenida Principal 789,654987321,125000,2
6666FFFF,Luis Ramirez,Calle Central 123,789321654,195000,3
7777GGGG,Sofia Rodriguez,Avenida Secundaria 456,987123654,135000,1
8888HHHH,Mario Sanchez,Plaza Central 789,123456987,185000,2
9999IIII,Elena Torres,Calle Principal 123,654321987,190000,3
0000JJJJ,Pablo Gomez,Avenida Central 456,321654987,180000,1
